IDv4	IDv3	PosV3	PosV4	Symbol	Cloned	GeneName	Functional description
Zm00001d023617	GRMZM2G094375	10:12171976-12174400	10:12275525-12278112	-		-	Laccase-7
Zm00001d023618	NA	NA	10:12298032-12300071	-		-	General transcription factor 2-related zinc finger protein
Zm00001d023619	NA	NA	10:12379921-12384642	-		-	Mono-/di-acylglycerol lipase N-terminal;Lipase class 3
Zm00001d023623	NA	NA	10:12556044-12556916	-		-	DNA-(apurinic or apyrimidinic site) lyase chloroplastic
Zm00001d023625	GRMZM2G102662	10:12527830-12529675	10:12645178-12646963	-		-	Putative cytochrome P450 superfamily protein
Zm00001d023627	NA	NA	10:12723826-12724858	-		-	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Zm00001d023629	GRMZM2G118714	10:12605881-12613563	10:12733959-12741378	-		-	Putative DUF827 domain containing family protein
Zm00001d023630	GRMZM2G432050	10:12640032-12649159	10:12787747-12796796	-		-	TPX2 (targeting protein for Xklp2) protein family
Zm00001d023631	GRMZM2G137407	10:12718296-12720227	10:12867583-12868935	-		-	Putative CBL-interacting protein kinase family protein
Zm00001d023634	GRMZM2G063394	10:12749437-12759810	10:12898296-12906692	-		-	U-box domain-containing protein 44
Zm00001d023635	GRMZM2G015869	10:12927536-12933154	10:13070016-13075806	-		-	Cystinosin homolog
Zm00001d023636	GRMZM2G006493	10:13006885-13025813	10:13145933-13165086	-		C3H-transcription factor 354	Zinc finger CCCH domain-containing protein 67
Zm00001d023639	GRMZM2G174565	10:13160976-13162521	10:13313330-13314856	-		-	Alba DNA/RNA-binding protein
Zm00001d023640	GRMZM2G303655	10:13166108-13181015	10:13316511-13341579	-		-	Ubiquitin carboxyl-terminal hydrolase 13
Zm00001d023646	GRMZM2G160279	10:13342553-13346845	10:13500284-13504618	-		-	Pumilio homolog 12
Zm00001d023647	NA	NA	10:13533868-13539984	-		-	Enoyl-CoA hydratase 2 peroxisomal
Zm00001d023648	GRMZM2G035839	10:13474813-13477239	10:13616666-13619050	-		-	Myosin-binding protein 7
Zm00001d023650	GRMZM2G110381	10:13497213-13499095	10:13640707-13642581	-		-	Protein yippee-like%3B Protein yippee-like protein isoform 1%3B Protein yippee-like protein isoform 2
Zm00001d023651	GRMZM5G838435	10:13503364-13507728	10:13646858-13651222	-		-	soluble epoxide hydrolase
Zm00001d023652	GRMZM2G126002	10:13553374-13557804	10:13697131-13701454	-		-	Putative oxidoreductase%2C aldo/keto reductase family protein
Zm00001d023653	GRMZM2G125985	10:13557750-13559526	10:13701472-13703227	-		-	Protein LIKE COV 3
Zm00001d023655	GRMZM2G011746	10:13613175-13616729	10:13756073-13759615	 y9		pale yellow9	pale endosperm, slightly viviparous; green to pale green seedlings and plants; accumulates 9,15,9'-tri-cis-zeta carotene in dark
Zm00001d023656	GRMZM2G011355	10:13635682-13642911	10:13779475-13781478	-		-	Acyl-CoA N-acyltransferases (NAT) superfamily protein
Zm00001d023658	GRMZM2G011136	10:13646550-13653195	10:13789308-13796140	-		-	aminopeptidases
Zm00001d023659	GRMZM2G006042	10:13788443-13794457	10:13876466-13882683	-		ARF-transcription factor 28	Auxin response factor 2
Zm00001d023664	GRMZM2G106622	10:14307490-14310723	10:14448534-14451513	-		-	ABA-responsive protein
Zm00001d023669	GRMZM2G083347	10:14449665-14451543	10:14594105-14596141	-		NAC-transcription factor 67	Putative NAC domain transcription factor superfamily protein
Zm00001d023672	GRMZM2G000332	10:14510780-14512416	10:14661174-14675235	-		-	Protein EXECUTER 2 chloroplastic
Zm00001d023673	GRMZM2G021706	10:14648064-14650932	10:14795157-14798022	 sweet13b		sugars will eventually be exported transporter13b	-
Zm00001d023677	NA	NA	10:15030181-15032801	 sweet13a		sugars will eventually be exported transporter13a	-
Zm00001d023680	GRMZM2G048175	10:14731796-14734545	10:15095362-15098284	-		-	Pollen Ole e 1 allergen and extensin family protein
Zm00001d023681	GRMZM2G027522	10:14913865-14916717	10:15208539-15211365	 mac1		multiple archesporial cells1	(was lar*-487) several archesporial cells undergo normal meiosis; plants partially female sterile but completely male sterileBeware: this locus could accidentally be confused with the act1 (actin 1) locus, which also was called MAc1 in past publications!
Zm00001d023682	GRMZM2G081541	10:14979906-14983519	10:15276163-15279719	-		-	ABC transporter F family member 1
Zm00001d023684	GRMZM2G437435	10:15035904-15038278	10:15330141-15332381	 sbt1		subtilisin1	expressed exclusively in the in the aleurone layer of the maize kernel within a short developmental time frame
Zm00001d023687	NA	NA	10:15508333-15509761	-		-	Expressed protein;  protein
Zm00001d023689	GRMZM5G862959	10:15210159-15247509	10:15540107-15574823	-		-	SGF29 tudor-like domain
Zm00001d023690	NA	NA	10:15582214-15582609	-		-	9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic
Zm00001d023692	GRMZM2G040389	10:15399016-15402276	10:15720538-15723750	-		-	selenium binding
Zm00001d023694	GRMZM2G088689	10:15552599-15556258	10:15875150-15878959	-		-	2-oxoisovalerate dehydrogenase subunit alpha 2 mitochondrial
Zm00001d023695	GRMZM2G088974	10:15556862-15560397	10:15879253-15882783	-		-	Inositol monophosphatase family protein
Zm00001d023696	NA	NA	10:15886687-15888457	-		-	DNA-directed RNA polymerase 3 chloroplastic
Zm00001d023698	GRMZM2G152757	10:15721331-15725740	10:16001989-16006337	 dnp1		diphosphonucleotide phosphatase1	single copy
Zm00001d023699	GRMZM2G399183	10:15804790-15806176	10:16081385-16082904	 gcsh1		glycine cleavage system protein H1	single copy leaf cDNA, csu681
Zm00001d023700	GRMZM5G831224	10:15921463-15924280	10:16132921-16135404	-		-	Expressed protein;  protein
Zm00001d023705	GRMZM2G481471	10:16181483-16183001	10:16371214-16376319	-		-	DNA-directed DNA polymerases
Zm00001d023706	GRMZM2G181251	10:16210496-16218008	10:16400383-16407915	-		-	Transcriptional corepressor SEUSS
Zm00001d023707	GRMZM2G181258	10:16218811-16219788	10:16408714-16409698	 trm1		thioredoxin M1	cDNA with conserved active site
Zm00001d023710	GRMZM2G310674	10:16360161-16366109	10:16559948-16565966	-		-	Small RNA degrading nuclease 5
Zm00001d023711	NA	NA	10:16567942-16571235	-		-	DNA polymerase eta
Zm00001d023713	GRMZM2G009048	10:16377558-16378557	10:16577449-16578394	-		-	Photosystem I reaction center subunit N
Zm00001d023715	GRMZM2G028307	10:16492667-16509433	10:16694025-16711740	-		-	Melibiase family protein
Zm00001d023717	NA	NA	10:16709998-16713446	-		-	Zinc finger BED domain-containing protein DAYSLEEPER
Zm00001d023718	GRMZM2G091819	10:16522572-16525775	10:16725273-16728563	 de18		defective18	Defective kernel: seed weight less than half of normal (B37) (Torti et al. 1984)
Zm00001d023720	GRMZM2G091891	10:16577080-16578992	10:16779779-16781690	-		-	Ureide permease 5
Zm00001d023721	GRMZM2G130127	10:16660241-16664789	10:16865094-16869364	-		-	DNAJ protein JJJ1 homolog
Zm00001d023722	NA	NA	10:17137527-17139233	-		-	DNAJ protein JJJ1 homolog
Zm00001d023723	NA	NA	10:17270057-17271457	-		-	DNAJ protein JJJ1 homolog
Zm00001d023728	NA	NA	10:17350500-17351900	-		-	DNAJ protein JJJ1 homolog
Zm00001d023729	GRMZM2G145578	10:17169995-17175768	10:17431220-17437992	-		-	Nitrilase-like protein 2
Zm00001d023732	GRMZM5G879536	10:17531852-17548417	10:17744759-17761320	-		-	Cyclin superfamily protein%2C putative%3B Cyclin-A2
Zm00001d023734	GRMZM2G009448	10:17611993-17615725	10:17851766-17855585	 grp2		glycine-rich protein2	-
Zm00001d023735	GRMZM2G127386	10:17680794-17684285	10:17919269-17922752	-		-	Nitrilase-associated protein
Zm00001d023736	GRMZM2G137510	10:17785901-17791457	10:18031501-18037018	-		MADS-transcription factor 34	Agamous-like MADS-box protein AGL8
Zm00001d023737	GRMZM2G439860	10:17835563-17837721	10:18081173-18083306	-		-	Universal stress protein family protein
Zm00001d023738	GRMZM2G136563	10:17935356-17938617	10:18083447-18098690	 vpsh26		vacuolar protein sorting homolog26	endosperm cDNA 5C06F05 similar to conserved vertebrate embryogenesis protein
Zm00001d023740	NA	NA	10:18189171-18190277	 mab22		math-btb22	-
Zm00001d023741	GRMZM2G082271	10:18129989-18147975	10:18388820-18406345	-		-	Alanine--tRNA ligase
Zm00001d023743	NA	NA	10:18413886-18414789	-		-	hydroxy methylglutaryl CoA reductase 1
Zm00001d023745	NA	NA	10:18417389-18419565	-		-	Mediator of RNA polymerase II transcription subunit 36a
Zm00001d023749	GRMZM2G015238	10:18339080-18352768	10:18613505-18627300	-		-	Prolyl endopeptidase
Zm00001d023757	GRMZM2G068316	10:18676121-18679398	10:18993063-18996474	-		-	NAD(P)H-quinone oxidoreductase subunit U chloroplastic
Zm00001d023758	AC194103.3_FG006	10:18735054-18735839	10:19052892-19053506	-		-	RING-H2 finger protein ATL67
Zm00001d023759	AC198699.3_FG004	10:18739068-18744926	10:19056769-19063074	-		-	Peroxisomal (S)-2-hydroxy-acid oxidase GLO4
Zm00001d023760	GRMZM6G007923	10:18758297-18761647	10:19075995-19079402	-		chitin synthase homolog1	Cell division topological specificity factor homolog chloroplastic
Zm00001d023762	GRMZM2G115579	10:18865345-18869396	10:19189183-19193087	-		-	Transducin/WD40 repeat-like superfamily protein
Zm00001d023765	NA	NA	10:19358328-19361415	-		-	Phytanoyl-CoA dioxygenase
Zm00001d023766	NA	NA	10:19366999-19369043	-		-	DUF2431 domain protein
Zm00001d023767	NA	NA	10:19457326-19463711	-		-	GRF1-interacting factor 3
Zm00001d023768	NA	NA	10:19503193-19504347	-		-	Delta(12)-fatty-acid desaturase
Zm00001d023769	GRMZM2G169240	10:19075536-19077433	10:19505853-19507513	-		-	Delta(12)-fatty-acid desaturase
Zm00001d023774	GRMZM2G106177	10:19243164-19244133	10:19671980-19672937	-		-	Erg28 like protein
Zm00001d023775	NA	NA	10:19782704-19783902	-		-	Polyadenylate-binding protein 3
Zm00001d023779	GRMZM2G181227	10:19483614-19489654	10:19912191-19918231	-		-	3-hydroxyisobutyryl-CoA hydrolase 1
Zm00001d023781	GRMZM2G006287	10:19523270-19525984	10:19951902-19954382	-		-	Putative pumilio homolog 7 chloroplastic
Zm00001d023783	GRMZM2G006206	10:19546424-19548798	10:19975235-19977409	-		-	Ypt/Rab-GAP domain of gyp1p superfamily protein
Zm00001d023785	GRMZM2G152143	10:19651802-19653667	10:20081571-20083484	-		-	Expressed protein;  protein
Zm00001d023788	GRMZM2G431157	10:19854631-19862449	10:20294622-20305450	-		JUMONJI-transcription factor 8	Lysine-specific demethylase REF6
Zm00001d023791	NA	NA	10:20566337-20591883	-		-	Protein RETICULATA-RELATED 3 chloroplastic
Zm00001d023792	GRMZM2G040968	10:20391694-20418386	10:20844614-20890419	-		-	Phosphoglucan water dikinase chloroplastic
Zm00001d023795	GRMZM2G331368	10:20707656-20724390	10:21192744-21209454	-		-	E3 ubiquitin-protein ligase UPL1
Zm00001d023796	NA	NA	10:21488311-21534611	-		-	Helicase and polymerase-containing protein TEBICHI
Zm00001d023797	GRMZM2G087531	10:21398217-21407682	10:21896216-21908831	-		-	proline-rich family protein
Zm00001d023801	GRMZM2G059010	10:21687341-21702589	10:22188803-22205430	-		-	DNA polymerase alpha 2
Zm00001d023802	GRMZM2G001500	10:21730900-21736012	10:22238725-22244066	-		-	Heat shock 70 kDa protein 6 chloroplastic
Zm00001d023803	GRMZM2G109582	10:21828432-21829618	10:22288415-22289467	-		-	Ubiquitin-conjugating enzyme/RWD-like protein
Zm00001d023807	GRMZM2G404377	10:22099656-22100319	10:22622239-22629995	-		-	MIF4G domain-containing protein / MA3 domain-containing protein
Zm00001d023808	GRMZM2G103909	10:22133369-22140730	10:22668095-22675337	-		-	Protein DEHYDRATION-INDUCED 19 homolog 3
Zm00001d023810	GRMZM2G015886	10:22270075-22274479	10:22804035-22808448	-		-	Putative cellulose synthase-like family protein
Zm00001d023811	GRMZM2G075283	10:22328006-22329297	10:22869495-22870557	-		-	Pathogenesis-related protein STH-21
Zm00001d023813	GRMZM2G113815	10:22371725-22375537	10:22948296-22951424	-		-	Polygalacturonase
Zm00001d023815	GRMZM2G011141	10:22755649-22763535	10:23244591-23252478	-		-	Putative lipase class 3 family protein
Zm00001d023816	NA	NA	10:23315369-23318262	-		-	hAT transposon superfamily protein
Zm00001d023817	GRMZM2G304915	10:22864073-22881385	10:23332450-23345034	-		-	Dihydrofolate synthetase
Zm00001d023818	NA	NA	10:23339259-23340831	-		-	Histidine kinase 4
Zm00001d023820	NA	NA	10:23416496-23420812	-		-	AP-3 complex subunit delta
Zm00001d023824	GRMZM2G139085	10:23003405-23005716	10:23507053-23509335	-		-	Splicing factor%2C arginine/serine-rich 12
Zm00001d023825	GRMZM2G058612	10:23076535-23081155	10:23585478-23590215	-		-	F-box family protein
Zm00001d023827	GRMZM2G338672	10:23187414-23191716	10:23689303-23693766	-		-	Major facilitator superfamily protein
Zm00001d023830	GRMZM2G036427	10:23221425-23223906	10:23731692-23733983	-		-	Fiber protein Fb19
Zm00001d023833	GRMZM2G013478	10:23254225-23259866	10:23764459-23769933	-		-	Nucleoside diphosphate kinase
Zm00001d023836	GRMZM2G097820	10:23363703-23367085	10:23860615-23861514	-		-	lumazine-binding family protein
Zm00001d023838	GRMZM5G868647	10:23397025-23400344	10:23887314-23897377	-		-	Auxilin-related protein 1
Zm00001d023839	GRMZM2G571844	10:23402160-23408607	10:23898579-23909591	-		-	binding
Zm00001d023840	GRMZM2G149410	10:23423085-23427671	10:23920908-23925442	-		-	Gamma-soluble NSF attachment protein
Zm00001d023841	GRMZM2G451231	10:23789344-23796028	10:24262540-24269530	-		-	P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain
Zm00001d023843	GRMZM2G176472	10:23812687-23816765	10:24286776-24290769	-		-	Calmodulin-binding protein 60 G
Zm00001d023846	NA	NA	10:24407598-24410255	-		-	ERAD-associated E3 ubiquitin-protein ligase HRD1A
Zm00001d023851	NA	NA	10:24701388-24714568	-		-	Histone-lysine N-methyltransferase ATXR3
Zm00001d023853	GRMZM2G141848	10:24452184-24457178	10:25081643-25084377	 aprl6		adenosine 5'-phosphosulfate reductase6	member of protein disulfide isomerase family involved in protein folding, but having putative nonisomerase-like activity
Zm00001d023854	AC211707.4_FG003	10:24455520-24455816	10:25085007-25085303	-		-	hAT transposon superfamily protein
Zm00001d023856	GRMZM2G153206	10:24585958-24586890	10:25214019-25214375	-		-	RALF
Zm00001d023857	NA	NA	10:25235894-25236857	-		-	Protein TIC 40 chloroplastic
Zm00001d023858	GRMZM2G300969	10:24619520-24622715	10:25245123-25248808	-		-	Leucine-rich repeat (LRR) family protein
Zm00001d023859	GRMZM2G300965	10:24657887-24661566	10:25283888-25287483	-		-	Respiratory burst oxidase homolog protein B
Zm00001d023863	GRMZM2G009196	10:24741298-24742621	10:25367734-25368630	-		-	Riboflavin synthase alpha chain
Zm00001d023867	GRMZM2G174803	10:24959328-24964658	10:25582979-25590172	-		-	Golgin candidate 6
Zm00001d023868	GRMZM2G174830	10:24971564-24977217	10:25595490-25600235	-		-	Galactose oxidase/kelch repeat superfamily protein
Zm00001d023869	NA	NA	10:25661970-25662434	-		-	Glutaredoxin-C13
Zm00001d023870	GRMZM2G457898	10:25092702-25093310	10:25715661-25716072	-		-	Glutaredoxin-C13
Zm00001d023871	NA	NA	10:25779950-25780455	-		-	Calcium dependent protein kinase 13
Zm00001d023872	GRMZM2G303536	10:25185588-25186037	10:25807397-25807714	-		-	Glutaredoxin-C13
Zm00001d023873	NA	NA	10:25872396-25872710	-		-	Glutaredoxin-C13
Zm00001d023874	GRMZM2G056270	10:25305994-25312590	10:25936465-25942972	-		-	E3 ubiquitin-protein ligase MIEL1
Zm00001d023877	GRMZM2G121625	10:25330545-25331489	10:26072811-26076587	-		CONTAINS InterPro DOMAIN/s	rRNA processing (InterPro:IPR013730); Has 898 Blast hits to 687 proteins in 142 species: Archae - 2; Bacteria - 28; Metazoa - 200; Fungi - 99; Plants - 63; Viruses - 0; Other Eukaryotes - 506 (source: NCBI BLink).
Zm00001d023880	GRMZM2G054250	10:25562470-25565564	10:26191828-26194467	-		-	Cofactor-independent phosphoglycerate mutase
Zm00001d023881	GRMZM2G054393	10:25564805-25574679	10:26194543-26204316	-		-	Sgf11 (transcriptional regulation protein) protein
Zm00001d023882	GRMZM2G054564	10:25575318-25576361	10:26204689-26207745	-		-	Putative HLH DNA-binding domain superfamily protein
Zm00001d023884	NA	NA	10:26297757-26302351	-		-	NO-associated protein 1 chloroplastic/mitochondrial
Zm00001d023885	GRMZM2G037378	10:25674791-25677448	10:26305370-26308988	-		-	Protein RTF1 homolog
Zm00001d023886	AC202091.4_FG003	10:25683360-25684282	10:26309772-26314253	-		-	PPR repeat protein
Zm00001d023887	GRMZM2G149580	10:25781857-25785172	10:26413254-26416496	-		-	Acyl carrier protein
Zm00001d023892	GRMZM2G014376	10:25983459-25988271	10:26542390-26547193	 sad1		shikimate dehydrogenase1	electrophoretic mobility; plastidial; monomeric
Zm00001d023895	GRMZM2G050394	10:26093564-26099454	10:26718145-26724047	-		-	Mitochondrial substrate carrier family protein
Zm00001d023896	GRMZM2G129457	10:26142934-26146481	10:26772380-26775750	-		-	DNA-directed RNA polymerases
Zm00001d023897	GRMZM2G130724	10:26353478-26366269	10:26984101-26996894	-		-	VIN3-like protein 1
Zm00001d023899	NA	NA	10:27167732-27171648	-		-	Peroxidase 24
Zm00001d023900	NA	NA	10:27174146-27174732	-		-	Small nuclear ribonucleoprotein family protein
Zm00001d023901	GRMZM5G883764	10:26568850-26569970	10:27251530-27252715	-		-	Histone H2A
Zm00001d023903	GRMZM2G458581	10:26656522-26658922	10:27298997-27301167	-		-	OSJNBb0028M18.1 protein
Zm00001d023904	NA	NA	10:27313349-27316275	-		auxin binding protein homolog4	Auxin-binding protein 4
Zm00001d023905	NA	NA	10:27382710-27384880	-		-	OSJNBb0028M18.1 protein
Zm00001d023906	GRMZM2G316593	10:26731663-26733033	10:27456859-27465326	-		-	OSJNBb0028M18.1 protein
Zm00001d023908	GRMZM2G078508	10:26773964-26776830	10:27502136-27505505	-		-	Auxin-binding protein 5
Zm00001d023910	GRMZM2G082167	10:26992480-26996245	10:27639022-27654657	-		-	Adaptor complexe medium subunit family protein
Zm00001d023912	GRMZM2G171006	10:27130278-27134917	10:27881681-27885933	-		-	DNA binding
Zm00001d023914	GRMZM2G365888	10:27274598-27281804	10:27979618-27987242	-		PHD-transcription factor 4	RING/FYVE/PHD-type zinc finger family protein
Zm00001d023915	GRMZM2G105229	10:27404809-27406862	10:28083135-28084982	-		-	Pentatricopeptide repeat-containing protein  mitochondrial
Zm00001d023916	NA	NA	10:28180538-28181374	-		-	COP9 signalosome complex subunit 7
Zm00001d023918	GRMZM2G073860	10:27467514-27470619	10:28212896-28215652	-		-	Purple acid phosphatase 10
Zm00001d023919	GRMZM2G401561	10:27493997-27497012	10:28240334-28243204	-		-	Protein STABILIZED1
Zm00001d023922	NA	NA	10:28388023-28391656	-		-	Guanylate kinase 1
Zm00001d023923	AC203972.3_FG001	10:27655922-27658633	10:28420100-28422811	-		-	Disease resistance protein RPM1
Zm00001d023927	GRMZM2G027298	10:27956953-27959323	10:28693644-28695428	-		-	Zinc finger CCCH domain-containing protein 30
Zm00001d023929	GRMZM2G383088	10:28396447-28402412	10:29148234-29154174	 oxmt1		oxo-glutarate/malate transporter1	single copy, plastid tranporter specific to mesophyll cells (Taniguchi et al 2004)
Zm00001d023931	NA	NA	10:29359954-29360247	-		MYB-transcription factor 109	Putative MYB DNA-binding domain superfamily protein%3B Secondary wall MYB46 transcription factor
Zm00001d023933	GRMZM2G420407	10:29229596-29231070	10:29995808-29996959	-		-	Probable 2-oxoacid dependent dioxygenase
Zm00001d023934	GRMZM2G120530	10:29231510-29236201	10:29997630-30002284	-		-	Mitochondrial import inner membrane translocase subunit TIM22-2
Zm00001d023936	GRMZM2G406108	10:29316880-29317813	10:30082820-30083380	-		-	CASP-like protein 8
Zm00001d023939	GRMZM2G060183	10:29543777-29545889	10:30314944-30317071	-		-	Putative polyol transporter 1
Zm00001d023941	GRMZM2G102683	10:29630935-29634878	10:30402000-30405639	-		-	Carbohydrate transporter/ sugar porter
Zm00001d023943	GRMZM2G042089	10:29881928-29893617	10:30683334-30695018	-		-	Coatomer subunit delta
Zm00001d023944	GRMZM2G132140	10:30147199-30149362	10:30897430-30899575	-		-	Pentatricopeptide repeat-containing protein  chloroplastic
Zm00001d023946	GRMZM2G087692	10:30201516-30205190	10:30976716-30980257	-		-	Putative methyltransferase
Zm00001d023950	GRMZM2G073943	10:30375954-30377357	10:31183136-31184065	-		-	Glucuronoxylan 4-O-methyltransferase 2
Zm00001d023952	NA	NA	10:31255015-31258554	-		-	Glycosyltransferase-like KOBITO 1
Zm00001d023955	GRMZM2G010669	10:30872196-30876367	10:31669358-31673544	 zmm1		Zea mays MADS1	genomic sequence whose putative protein has 94% identity with that of zag2; this pair of MADS box genes, and zmm2 with zag1, may reflect duplications; expression restricted to female inflorescence
Zm00001d023957	GRMZM2G117028	10:31015686-31021381	10:31821083-31827877	-		-	Protein STICHEL
Zm00001d023962	GRMZM2G115424	10:31315303-31320114	10:32089437-32094242	-		Alfin-like-transcription factor 6	PHD finger protein ALFIN-LIKE 6
Zm00001d023964	GRMZM2G073908	10:31496409-31500369	10:32323177-32326990	-		-	Serine carboxypeptidase-like 20
Zm00001d023966	NA	NA	10:32431429-32440928	-		-	Sucrose synthase 3
Zm00001d023968	GRMZM2G124974	10:31731426-31734853	10:32563929-32567309	-		-	Glutathione S-transferase
Zm00001d023969	GRMZM2G425986	10:31736728-31756569	10:32585885-32588980	-		-	A/G-specific adenine DNA glycosylase
Zm00001d023973	GRMZM2G097286	10:31984460-31986129	10:32815479-32817141	-		-	Cysteine proteinases superfamily protein
Zm00001d023974	GRMZM2G027431	10:32534386-32540177	10:33362121-33363695	-		-	Putative endonuclease or glycosyl hydrolase
Zm00001d023975	NA	NA	10:33368056-33370549	-		-	Tubulin gamma-2 chain
Zm00001d023978	GRMZM5G829554	10:32833639-32836826	10:33717911-33721015	-		-	Cytochrome b5 isoform B
Zm00001d023979	GRMZM5G827286	10:33024919-33029483	10:33922137-33926709	-		diacylglycerol kinase5	Diacylglycerol kinase 2
Zm00001d023982	NA	NA	10:34214274-34227047	-		-	ADP-ribosylation factor GTPase-activating protein AGD3
Zm00001d023984	GRMZM2G700208	10:33357029-33360934	10:34278519-34282752	-		-	GDSL esterase/lipase
Zm00001d023987	GRMZM2G171518	10:33613533-33625739	10:34453878-34465900	-		-	La-related protein 6B
Zm00001d023990	GRMZM2G080650	10:33751506-33758312	10:34692879-34700090	-		-	Putative alcohol dehydrogenase superfamily protein
Zm00001d023992	GRMZM2G133588	10:34007307-34007944	10:34971922-34972401	-		-	EF hand family protein
Zm00001d023994	GRMZM2G016890	10:34240659-34246077	10:35174831-35179918	-		beta glucosidase1	Beta-glucosidase%2C chloroplastic
Zm00001d023995	GRMZM2G119465	10:34372919-34377432	10:35301876-35306863	-		-	Sec14p-like phosphatidylinositol transfer family protein
Zm00001d023998	GRMZM2G325643	10:34507272-34514507	10:35441529-35448839	-		-	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related
Zm00001d024000	NA	NA	10:35675292-35679293	 glu3		beta-glucosidase3	-
Zm00001d024002	GRMZM2G153383	10:34777732-34782210	10:35713642-35715810	-		-	Protein kinase APK1B chloroplastic
Zm00001d024003	GRMZM2G341379	10:34921094-34923019	10:35842772-35856493	-		-	Calcium-dependent protein kinase 24
Zm00001d024008	GRMZM2G479834	10:35447564-35453445	10:36379483-36384610	-		Aux/IAA-transcription factor 42	Auxin-responsive protein IAA27
Zm00001d024009	GRMZM2G009443	10:35591531-35598325	10:36528738-36535462	-		cytokinin inducible protease1	Chaperone protein ClpC1 chloroplastic
Zm00001d024011	NA	NA	10:36761949-36762589	-		-	Probable lysine-specific demethylase ELF6
Zm00001d024012	GRMZM2G067562	10:35832476-35832843	10:36873558-36877166	-		-	Glutamate receptor 1.2
Zm00001d024013	NA	NA	10:36890850-36892262	-		-	Tetratricopeptide repeat (TPR)-like superfamily protein
Zm00001d024014	GRMZM2G565911	10:35928715-35930292	10:36972441-36982464	-		-	Zinc finger (C3HC4-type RING finger) family protein
Zm00001d024016	NA	NA	10:37077737-37083244	-		-	zinc finger (Ran-binding) family protein
Zm00001d024017	NA	NA	10:37082417-37086200	-		-	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Zm00001d024018	GRMZM2G088539	10:36031867-36056874	10:37085965-37102852	-		-	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Zm00001d024022	GRMZM2G472703	10:36254235-36258217	10:37311469-37313771	-		-	Putative leucine-rich repeat receptor-like protein kinase family protein
Zm00001d024023	AC214791.2_FG002	10:36388693-36389588	10:37447172-37448145	-		phosphatidylethanolamine-binding protein20	Protein FLOWERING LOCUS T
Zm00001d024027	GRMZM2G049915	10:36785988-36787819	10:37879487-37880623	 prcw1		proline rich cell wall protein1	-
Zm00001d024028	GRMZM2G049892	10:36804977-36806236	10:37894909-37899157	-		-	Anthranilate synthase beta subunit 1 chloroplastic
Zm00001d024029	NA	NA	10:38039992-38043742	-		-	40S ribosomal protein S4-3
Zm00001d024033	GRMZM2G418776	10:37421816-37428051	10:38570776-38575734	-		-	Importin subunit alpha-6
Zm00001d024034	GRMZM2G022283	10:37545840-37567320	10:38698828-38720756	-		-	Adenylylsulfatase HINT3
Zm00001d024036	GRMZM2G095323	10:37635563-37661846	10:38795360-38821643	-		-	C2H2-like zinc finger protein
Zm00001d024037	GRMZM2G008247	10:37762909-37767713	10:38844199-38849055	-		beta-glucosidase2	Beta-glucosidase2
Zm00001d024041	NA	NA	10:39073197-39078744	-		bZIP-transcription factor 37	bZIP transcription factor 16
Zm00001d024042	GRMZM2G465257	10:37913321-37913936	10:39074047-39074250	-		-	Fasciclin-like arabinogalactan family protein
Zm00001d024047	GRMZM2G012176	10:38482153-38487572	10:39664540-39669815	-		-	Leucine-rich repeat protein kinase family protein
Zm00001d024048	GRMZM2G010406	10:38530684-38542590	10:39712844-39724848	-		-	Argininosuccinate synthase chloroplastic
Zm00001d024049	GRMZM2G010095	10:38583070-38599059	10:39765508-39781464	-		BEST Arabidopsis thaliana protein match is	nucleolar protein gar2-related (TAIR:AT2G42320.2); Has 3163 Blast hits to 2460 proteins in 357 species: Archae - 16; Bacteria - 291; Metazoa - 841; Fungi - 335; Plants - 248; Viruses - 72; Other Eukaryotes /.../0 (source: NCBI BLink).
Zm00001d024051	GRMZM2G173209	10:38923068-38926861	10:40111662-40115443	-		-	Adenylate kinase 4
Zm00001d024053	NA	NA	10:40250482-40256679	-		-	Protein kinase superfamily protein
Zm00001d024055	AC194467.3_FG006	10:39191730-39195480	10:40303199-40306886	-		-	Expressed protein;  protein
Zm00001d024057	GRMZM2G138829	10:39249721-39251581	10:40372939-40373797	-		-	Tetratricopeptide repeat (TPR)-like superfamily protein
Zm00001d024059	GRMZM2G088487	10:39599962-39603665	10:40715440-40719177	-		-	Actin-related protein 6
Zm00001d024060	NA	NA	10:40747708-40752335	-		-	Homeobox-leucine zipper protein REVOLUTA
Zm00001d024062	NA	NA	10:40787545-40788949	-		-	Pinoresinol reductase 2
Zm00001d024066	GRMZM2G360615	10:39957934-39972630	10:41073293-41087885	-		-	fiber protein Fb34
Zm00001d024068	GRMZM2G070620	10:40191191-40193013	10:41313163-41314896	-		-	Putative cytochrome P450 superfamily protein
Zm00001d024071	GRMZM2G128876	10:40338142-40340243	10:41457090-41458519	-		-	Xyloglucan endotransglucosylase/hydrolase protein 2
Zm00001d024072	NA	NA	10:41643302-41644974	-		-	CTC-interacting domain 7
